interaction_id,customer_tweet_id,agent_tweet_id,customer_message,context,historical_agent_response,human_intent,should_escalate,escalation_reason,provisional_intent
2000001,2000002,2000001,@115858 @53595 @456595 your latest iOS update is very fancy but any chance of fixing this.....  ruining my life © https://t.co/xuPYiVxbMA,,"@591368 Hey, we'd like to learn more about what's going on. DM us the exact iOS version and the device and we'll go from there. https://t.co/GDrqU22YpT",,,,IOS_UPDATE
2169826,2169827,2169826,@636521 @115858 They tweeted back at me on how to fix it.. I followed the instructions &amp; it’s still not working. #fml,[CUSTOMER] What is with this autocorrect for I️ ... @115858 fix this,"@518257 Hi there. Please DM us your device, and the installed iOS version on that device: https://t.co/GDrqU22YpT",,,,FEATURE_HOW_TO
292361,291807,292361,@AppleSupport The app I used in the video is Concepts. Also latest version. The dev from them replied to me saying it's caused by IOS 11. :/,"[CUSTOMER] @115858, iOS 11 sucks, apple pencil lag as hell in many drawing apps......Please fix it asap! constantly having that issue. #lag #apple https://t.co/XsHr2w3O3R
[AGENT] @185490 Let's take a look into this together. Have you had a chance to update to iOS 11.0.2?",@185490 We'd like to take a further look at this with you. Please meet us in DM. https://t.co/GDrqU22YpT,,,,IOS_UPDATE
1234768,1234766,1234768,"@AppleSupport iphone 6s, the screen just went all pixelated and then shut off. Now it won't start up at all","[CUSTOMER] My Iphone just stops working every two years around the exact same time. Hmm @115858
[AGENT] @409613 Let's take a look at it, what seems to be wrong with it at this time? Which model is it, and which version of iOS is installed?",@409613 Okay. We're happy to help. Try these steps to get your phone to turn on. Let us know the results. https://t.co/8MvHMFZ83h,,,,DEVICE_HARDWARE
1976476,52316,1976476,@127767 @115858 Ya shit be whiling too?,[CUSTOMER] Aye @115858 that update yesterday didn’t fix the battery issue at all. Y’all need to do something ASAP,@585299 We want to help with any issues you're having with your iPhone. DM us details and we'll be happy to work with you there. https://t.co/GDrqU22YpT,,,,OTHER_UNCLEAR
2629001,2629002,2629001,"@AppleSupport hey guys, apps keep crashing, can't download any additional ones and phone won't update to ios11. over 7GB's of storage available. Phone is a 7. cheers",,@742495 We are here to help. Let's take a look at this. DM us what happens when you try to download apps and we can take a look. https://t.co/GDrqU22YpT,,,,PERFORMANCE_STABILITY
58171,58172,58171,@AppleSupport App store now appears to be working,"[CUSTOMER] @115858 updated to 11.1 on iPhone 7 and now it won’t connect to the App Store. Known issue?
[AGENT] @129208 Help is here. We're not reporting any outage at this time: https://t.co/7NVrDovSd8 Any issues connecting to the iTunes Store?",@129208 We're glad to hear everything is back to normal. Please reach out to us if there is ever anything else.,,,,PURCHASE_REPAIR_WARRANTY
633889,633890,633889,"@115858 @AppleSupport Hi, hope you can assist.I recently lost my phone however I still have my apple watch. Do you know of an app that can help with regards to getting workouts synched for vitality etc. Thanks",,"@270259 We're sorry to hear about the loss of your iPhone. To sync your data, the Apple Watch would need a synced iPhone. DM us if you have further questions on this. https://t.co/GDrqU22YpT",,,,APPS_MEDIA
337465,337466,337465,@AppleSupport I had to log in to my account to access all ‘services’. Would not complete process - hard reboot sorted it.,"[CUSTOMER] Anyone else having @115858 log-in problems after ‘upgrading’ to 11.0.2?
#ios1102 #ios11problems
[AGENT] @196530 We'd like to help. Could you elaborate on the login issue you've experienced since updating to iOS 11.0.2?",@196530 We're glad to hear that.  Don't hesitate to contact us in the future should you need us.,,,,ACCOUNT_SECURITY
2734086,2734087,2734086,upgraded to the highest quality macbook pro money can buy and after one day of usage the battery life is...still garbage? used 51% of battery in 1h20m... what gives @115858 ? https://t.co/zlSk2GZsGc,,@766312 We'd like to look into this in greater depth. Can you share with us the serial number and the macOS version to your MacBook Pro? Please DM us. https://t.co/GDrqU22YpT,,,,BATTERY_POWER
32358,32360,32358,@AppleSupport how can I unsubscribe to an auto renewing app in my iPhone?,,@123168 This resource should do the trick. Check out the steps under 'Turn on Automatic Downloads': https://t.co/2oRvemLiMD,,,,FEATURE_HOW_TO
697546,6859,697546,"@AppleSupport With iOS11, when I try to use the AirPlay, the screen freezes for some seconds, like 50~100s. Using iPad mini 2. Can I do anything to solve?","[AGENT] Introducing the new Control Center in iOS 11. Now customizable.
Learn more https://t.co/fCNsZCyS3P https://t.co/WiFGzhh3AZ","@286421 Hi there! For the best help with this issue, reach out to our AirPlay support using this link: https://t.co/IBIY3vMgPj",,,,DEVICE_HARDWARE
2295757,2295758,2295757,@AppleSupport This new update DISCONNECTS MY INTERNET,"[AGENT] Updated your #iPad to iOS 11? Here's a look at the new Control Center and App Switcher.

Learn more: https://t.co/I8S8tdA4ZP https://t.co/enQf8rktyS",@666606 We're happy to help. Tell us more about the internet issues you're experiencing via DM. We'll go from there. https://t.co/GDrqU22YpT,,,,CONNECTIVITY
1434371,1434369,1434371,@AppleSupport It's getting very hot. The screen freezes occasionally. Key lock is broken @115858,"[CUSTOMER] I have a big problem on my phone, please help me immediately @115858
[AGENT] @453035 You've come to the right place, what's going on today with your iPhone?",@453035 Which iPhone model are you using? Is the lock button physically broken? DM the answer below. https://t.co/GDrqU22YpT,,,,DEVICE_HARDWARE
1354042,1354043,1354042,@AppleSupport my brand new iPhone 7 mic nt able to hear after update 11.0.3 before update it was working now I have to put speaker on help,,@435765 We can help you with this. Let's chat more in DM. https://t.co/GDrqU22YpT,,,,IOS_UPDATE
2622653,2622654,2622653,See @115858 if the 8 wasn't a grand more people would buy those but since it is im gonna have to live with my broken ass 6+,[CUSTOMER] Putting this AT&amp;T customer service guy through the ringer.. Find me an  Gold IPhone 7+ in the state of mass 🤞🏽🤞🏽🤞🏽🤞🏽,"@740940 We'd be happy to help out with your iPhone 6 Plus. What issues have you been experiencing? Have you taken any steps to resolve these issues? If so, please let us know what you've tested in a DM. https://t.co/GDrqU22YpT",,,,DEVICE_HARDWARE
1464394,1464392,1464394,@AppleSupport Public beta I suppose.,"[CUSTOMER] @AppleSupport why i’m keep getting this popups even after the update? Running iOS 11.2 now https://t.co/2rnnxRW2a6
[AGENT] @459907 Happy to get to the bottom of this. Are you a part of the Developer or Public Beta Program?","@459907 Check out the details it provides under ""Update"" at https://t.co/rEEDcjXdhp for info on this message.",,,,APPS_MEDIA
2299885,2299886,2299885,"@AppleSupport HELP want to check my order status and it’s just coming up with this:
Tried both the app and online https://t.co/a4VEePtKTm",,@667525 We'd be happy to get you pointed in the right direction. We suggest you reach out to our Sales Support team using the following link. They'll be the best ones to help with this concern regarding your order: https://t.co/8yjRd1Xo0i,,,,PURCHASE_REPAIR_WARRANTY
1975191,1975192,1975191,@584928 @115858 @AppleSupport Congrats! I actually ordered mine from Apple HK cause I’m based in Asia. Guess I’m stuck with my 5-6 weeks dates. 😭,"[CUSTOMER] @584928 @115858 @AppleSupport Not even a tracking number?
[CUSTOMER] @584927 @115858 @AppleSupport Nope.  “Preparing to ship”
[CUSTOMER] @584928 @115858 @AppleSupport  https://t.co/C4CPp7XoCc
[CUSTOMER] @584927 @115858 @AppleSupport exactly
[CUSTOMER] @584927 @115858 @AppleSupport You can track the package on UPS!  Mine is in HK!!",@584927 We’d like to get you in touch with our Apple Online Store team for assistance. Please reach them here: https://t.co/RmFSlCBcIE https://t.co/GDrqU22YpT,,,,PERFORMANCE_STABILITY
2241250,2241251,2241250,Hey @115858 @AppleSupport can you fix the  Bluetooth Disconnect issue?,,@653459 Welcome back! Let's see about where we left off as it's been a while. Have you since updated to iOS 11.1.1? Let us know in DM and we'll work together to get this solved. https://t.co/GDrqU22YpT,,,,CONNECTIVITY
1918054,1918055,1918054,"@AppleSupport (2/2) even though it shows on my account as renewed. Plus, I was billed twice for the subscription. https://t.co/UBjlsAcXNb","[CUSTOMER] @AppleSupport I’m having trouble with a subscription I did via the App Store.
[AGENT] @571246 We’d like to see how we can help. Can you give us some more details about the issue you're having?",@571246 Let's get you in touch with an iTunes Store Advisor for further assistance at:  https://t.co/SDIe7UiyJN,,,,ACCOUNT_SECURITY
450357,450355,450357,@AppleSupport Thank you USB bit and Wifi both likely slow for full HD?,"[CUSTOMER] 1st world problem time Anyone help with transfer data from @115858 2011 MacBook Pro (with USB2 Firewire Thunderbolt 1 and Ethernet ports) to new MacBook Pro?
[CUSTOMER] @220979 @115858 Use migration assistant 👍 Also ... Apple Support are good if u call em
[CUSTOMER] @221754 @115858 It’s which cable to use that’s the problem I’m contacting Apple support just thought the hive mind might have an answer Thanks
[AGENT] @220979 We understand the gravity of this situation. You can use a USB-C to USB Adapter like this one: https://t.co/nqMATCsq2w
Otherwise you can transfer your data via Wi-Fi as explained in the article we provided earlier.",@220979 It can take some time depending on how much information is being transferred from Mac to Mac.,,,,PERFORMANCE_STABILITY
2570954,2570956,2570954,@AppleSupport - my iPhone 6 is getting very heated and is extremely slow .. done full clean up and restore but devise is getting heated.,,@729092 We'd like to look into this with you. What is your current iOS version? How long have you been having issues?,,,,PURCHASE_REPAIR_WARRANTY
617088,617090,617088,Dear @AppleSupport - why do you let autocorrect put a capital letter on the word “read”? It’s rarely a proper noun in comparison to the times it is a verb. And how can I stop it without turning off the whole of autocorrect?,,@266404 You can use text replacement to automatically change text once you’ve set it up. Here’s a great guide for that: https://t.co/N1wTpiferW Questions? DM us. https://t.co/GDrqU22YpT,,,,FEATURE_HOW_TO
1533844,1533845,1533844,I’m just about to use a lowercase L to replace this glitch @115858 can’t seem to fix 😑,,@475685 We'd love to help. DM us what iOS version you're on. https://t.co/GDrqU22YpT,,,,OTHER_UNCLEAR
2693959,2693961,2693959,"@AppleSupport having problems with iOS 11 Cover Sheet on iPhone X... Randomly it’s completely blank, no notifications, lock, or login options. Reqs reboot. Want a video of it?",,"@757153 Let's look into this together.  To start, can you tell us what iOS version you're currently on?  Also, when did you first notice this behavior?",,,,ACCOUNT_SECURITY
246492,246493,246492,@174547 @116333 @115858 Urggh shouldn’t have upgraded man! Really lagging. Which one are you using?,[CUSTOMER] Same here...waiting to see my iPhone again on 90% battery @174546 @116333 @115858 https://t.co/YYg9vyZIoQ,@174546 We're here for you. Send us a DM with details and we'll go from there. https://t.co/GDrqU22YpT,,,,PERFORMANCE_STABILITY
243287,243291,243287,"@AppleSupport is the App Store down? I can’t download or update any apps, the circle keeps spinning and I’ve been trying for over 12 hours",,@173771 Thanks for reaching out. Let's take a closer look together. Does this happen over both Wi-Fi and cellular data?,,,,APPS_MEDIA
2321356,2321357,2321356,@AppleSupport iOS 11.1.1 massive battery drain. Apple Music crashing constantly. Not good.,,"@672694 Thanks for reaching out. DM us with which device you are using, so we can help. https://t.co/GDrqU22YpT",,,,APPS_MEDIA
61345,61347,61345,"@AppleSupport Yeah But Half My Apps Disapear &amp;Or Don’t Show (Since IOS11),Even Right After I Downloaded Them,It’s Random,But App Store Randomly Seems To Hide/Show Purchases",[AGENT] Accidentally deleted an app? Here's how to find and reinstall your purchased apps in iOS 11. https://t.co/wvOgLJh2Kz,@130046 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in?,,,,PURCHASE_REPAIR_WARRANTY
165777,165779,165777,"@9543 I just purchased an @AppleSupport iPhone X and the SE215SPE-W-BT1. After charging the BT module to 100% I took them for a bike ride and experienced regular skipping. Local files, not streaming. Help?",,"@154489 Let's help you get this sorted out. Can you tell us the iOS version you're currently using, please?",,,,BATTERY_POWER
1335502,1335503,1335502,@AppleSupport @115858 why does my Bluetooth and wifi turn on automatically on iOS 11?,,"@314397 For information on how Wi-Fi and Bluetooth work in Control Center, check out this article: https://t.co/G7BHuQnDS6",,,,CONNECTIVITY
2282701,2282702,2282701,Ummm @115858 y’all need to fix this software shit! First that question mark shit. Now my damn airplay won’t play videos. Smh.,,@663458 We can work on this together. Which device are you attempting to play the videos on? What happens when trying to play videos? Are these videos large? Do yo know the video file type?,,,,OTHER_UNCLEAR
697524,697525,697524,.@AppleSupport Is Wi-fi turning itself back on automatically because of wi-fi calling? I turn it off and it turns itself back on.,,@165462 Let us know what steps you're taking to disable Wi-Fi. We'll be happy to look into this with you.,,,,APPS_MEDIA
1454581,1454582,1454581,"@AppleSupport it states 2 minutes, I have been waiting 20 minutes. Thoughts? 🤔💭 https://t.co/ZrRSuxneUW",,@457603 We're happy to help however we can via Twitter. Please let us know what prompted you to initiate a chat session.,,,,APPS_MEDIA
536631,536632,536631,@115858's app store makes me want to switch to android. 20 mins of this shit for WHAT https://t.co/kJS1Yhrzw1,,@244347 We'd like to look into this with you and get your App Store up and running. What is your current iOS version? You can find it at Settings &gt; General &gt; About.,,,,PURCHASE_REPAIR_WARRANTY
1905795,1905793,1905795,"@AppleSupport hi I worked from this menu b4 I contacted you. All up to date, turned off/on Btooth phone on/off even did network reset","[CUSTOMER] @AppleSupport Hi.Updated from iPhone 5 to 8 &amp; now cannot connect headphones 🎧 to 8 via Bluetooth never had probs on 5. What’s gone wrong?
[AGENT] @567886 We're happy to help. Let's start with the steps found here: https://t.co/JMbUWh4fsj","@567886 Just to confirm, which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.",,,,CONNECTIVITY
802481,802482,802481,"Anyone else’s iphone (7plus) glitching, battery drain or screen seem to be uncalibrated after doing the new update?!?! #Nonsense @115858",,@311216 That's not what we expect for the update at all. We'll be happy to assist. Which iOS version are you currently running?,,,,BATTERY_POWER
2554003,2554001,2554003,"@AppleSupport The 11.1.2 .. the newer one. Any app , or even when I flicking through the internet it freezes and I can’t touch it for 15mins 😡😭","[CUSTOMER] @115858  every since Iv updated my iPhone to the new soft ware it keeps freezing on apps 😡😡😡
[AGENT] @725339 That’s not the experience we want you to have with new software. Which version are you running? Which specific apps is it freezing with?",@725339 Let's try restarting your device and see if that helps. Let us know what you find.,,,,PERFORMANCE_STABILITY
1304703,1304706,1304703,@AppleSupport why can’t I buy an iPad from your site right now?!,,@424880 We'd love to help. Have you tried other web browsers? You'd want to check with our Sales team here: https://t.co/8yjRd1Xo0i,,,,PURCHASE_REPAIR_WARRANTY
647434,647435,647434,@115858 you all have the worst software on the planet...how can I 2 step verify my account on my phone when ios 11.0.2 keeps crashing it,,@273796 We can help you log in. Send us a DM and let us know what's going on and we'll start there. https://t.co/GDrqU22YpT,,,,ACCOUNT_SECURITY
801746,801747,801746,@115858 Be nice if the next #iOS11 patch fixes the bunching up of app icons on the top half of the screen...,,@311044 Reach out to us via DM and we can take a look at what is occurring on your device and find a resolution. https://t.co/GDrqU22YpT,,,,IOS_UPDATE
2590432,2590430,2590432,@AppleSupport Hi. iPhone 6. Ever since iOS 11 my phone will connect to WiFi for maybe an hour a day and then will lose connection and say that I have the incorrect password and is unable to join. All other devices in the house connect to WiFi with no problems.,"[CUSTOMER] @AppleSupport Fix the WiFi connectivity issues!!!! I can’t connect to my home WiFi
[AGENT] @733728 We're here for you. Let us know what happens when you try, when the issue first began, and the device you're trying to connect to Wi-Fi with. We'll work together to investigate so we can get you connected again.","@733728 Thanks for reaching out. That's certainly not the behavior we'd expect. Have you already updated to the latest release, iOS 11.1.2? Have you tried restarting your iPhone?",,,,CONNECTIVITY
