interaction_id,customer_tweet_id,agent_tweet_id,customer_message,context,historical_agent_response,human_intent,should_escalate,escalation_reason
2040306,2040308,2040306,"Er WTF happened to my screen, @AppleSupport?!
@603285 https://t.co/UN7JYVAaxu",[CUSTOMER] Closed the lid on my MacBook (with stuff open!) and went food food... Opened it up to this! 🤔 https://t.co/2XKqvnrBAX,@563674 Let's take a look. Your Mac may have been downloading an update in the background. Let us know if you experience any issues in DM. https://t.co/GDrqU22YpT,,,
2005374,2005375,2005374,@115858 The worst part is that it looks like you’re typing an I️ until you hit send and then see you actually sent an I️,"[CUSTOMER] I’m going to go crazy if my phone doesn’t stop autocorrecting “I️” to A and some weird character 🙃🙃🙃🙃 you’re making me look drunk, @115858 https://t.co/hXHdVWwIGi","@593026 We're happy to look into this. Try out the steps in this article: https://t.co/xU1AGHStV6
Let us know if that works for you in DM. https://t.co/GDrqU22YpT",,,
1896412,1896413,1896412,"@AppleSupport My brother's iPhone 6 during charing, the battery was cought fire. https://t.co/NdpG4WMcBH",,"@565239 We take this matter very seriously, and we'll be happy to look into it. Can you DM us what country you are in? https://t.co/GDrqU22YpT",,,
2355025,2355027,2355025,Trying To Update My IPhone And This Keeps Popping Up Even Though I Am Connected To The Internet! Helppppp. @AppleSupport @115858 https://t.co/iJy2qWTXHD,,"@680388 The connection may be disconnecting during the process. Are you able to try on another Wi-Fi network, or do you have iTunes downloaded to a computer?",,,
2456155,2456156,2456155,@AppleSupport @115858 unable to send messages when try to connect through icon ‘send message’ in contacts pls look into it #iphone7 #ios11.1.1,,@703576 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,,,
208031,208029,208031,@AppleSupport Haptic feed back isn’t felt with 3D Touch everytime,"[CUSTOMER] Uh ohhhh @115858 3D Touch isn’t giving that haptic feed back on my 8 Plus smh disappointed
[AGENT] @165214 We can help with your new iPhone 8 Plus. What happens when you press an app icon on the Home screen?",@165214 Excellent information. What is the iOS version number on your iPhone 8 Plus at this time?,,,
244208,244210,244208,"Turnes bluetooth off yet it autoenabled to connect to the car. Unacceptable, off is OFF. #iOS11 @115858",,@174007 We'd love to help. The Control Center Bluetooth button is changed in iOS 11. Here's more information: https://t.co/G7BHuQnDS6,,,
1589956,1589957,1589956,"@488879 @AppleSupport No I ordered an Apple Watch for my wife's birthday.. two months later, I still don't have it.","[CUSTOMER] Considering never buying an Apple product again after the ongoing nightmare I'm having w/ @AppleSupport #Apple #Unacceptable #AppleWatch
[CUSTOMER] @488878 @AppleSupport did you go to the Apple Store?",@488878 Let's help get you into the right hands to get this resolved. Please reach out to us via: https://t.co/8yjRd1Xo0i,,,
2445260,2445262,2445260,Why is my phone searching for service after I updated to iOS 11.1 @AppleSupport,,@701067 Our latest version is 11.1.1. Are you on that version? Go ahead and DM us and we will go from there. https://t.co/GDrqU22YpT,,,
209111,209109,209111,"@AppleSupport No. 
I tried restarting, deleting and reinstalling. No resolution","[CUSTOMER] @AppleSupport @115948 crashes on my #ipad when connected to the net. 
Hope a fix is coming soon.
[AGENT] @165500 Let's look into this together. Could you tell us if you're receiving an error message when Apple Music crashes?",@165500 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,,,
2435337,2435338,2435337,@115858 @115714 PLEASE fix this random shouting down on IPhone 7+ now lasted IOS installed😡😡,,@698756 We want to look into this with you. Reach out via DM using the link below. https://t.co/GDrqU22YpT,,,
1220021,1220019,1220021,"@AppleSupport 11.0.3 Crazy slow, terrible connection over Bluetooth which ruins all conversations in car/listening to music, screen goes white and locks","[CUSTOMER] @AppleSupport BT connection to car &amp; home speakers is a joke since #iOS11 upgrade. Phone locks and freezes. Apps take forever to open #Fixit
[AGENT] @406233 That should not be happening. Let us help. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.",@406233 Let's move over to DM so we can look into this further. https://t.co/GDrqU22YpT,,,
2355853,2355854,2355853,@AppleSupport thank you! My iPhone 7 has the latest software update. I’ve manually edited the keyboard to change “it” to “It.” Hate It.,"[CUSTOMER] My iphone now autocorrects the word “it” into “I.T”and @115858 has no answers for me. Def some geek at Apple just fucking with everyone 🤓
[AGENT] @680599 Actually we can and would be glad to help out. Can you tell us what troubleshooting has been done so far so we don't ask you to repeat any steps?",@680599 There is another set of steps that could negate the need for that custom replacement. We would need to get to DM in order to list those steps. Please join us there. https://t.co/GDrqU22YpT,,,
2727815,2727816,2727815,@115858 IOS11 has completely destroyed my phone. Lets get it together guys,,@764902 We want to help. Please DM us details of what is happening and we'll work together on getting your iPhone working as expected. https://t.co/GDrqU22YpT,,,
1591486,1591487,1591486,@115858 PLEASE help!! I am trying to download an update. I am connected to wi fi. What can I do? https://t.co/5tKpqFGHM3,,"@489245 We are here to help!  Please take a look at this article, which provides information on this issue: https://t.co/Ui1yTnOCUz",,,
1762076,1762077,1762076,@AppleSupport yo I didn’t pay 2k for this laptop for it to not charge,,@269312 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,,
2205779,2205780,2205779,This I️ shit is getting on my nerves lol fix this shit @115858,,"@644926 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",,,
2736432,2736431,2736432,"@AppleSupport Thanks. However, the battery still only charges to 99%.","[AGENT] @303268 We'd like to look into that battery drain with you. Which iPod are you using? What version of iOS is installed?
[CUSTOMER] @AppleSupport iOS 11.1.2 &amp; I think iPod Touch 6th generation
[AGENT] @303268 Thanks for updating us with this information. Let's go to Settings &gt; Battery and let us know if you see any messages about the battery needing service.
[CUSTOMER] @AppleSupport There’s no message.
[AGENT] @303268 Alright, in that same screen, do you see any apps that show background activity?  If so, check out: https://t.co/bivpdfBNJ6",@303268 Let's move over to DM to look into this further. https://t.co/GDrqU22YpT,,,
1973561,1973563,1973561,"@AppleSupport the battery of my phone sucks, it has guarantee and I took it to the service and they told me it was everything ok but I use the phone for 2 hours and then i dont have more battery 😭",,"@584474 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running, and we'll get started. https://t.co/GDrqU22YpT",,,
1470794,1470795,1470794,@AppleSupport Why does iOS keep turning on my WiFi when I turn it off? I don’t like connecting to random open access point this is a weird feature of iOS 11,,"@142441 Let's help. If you're attempting to turn off Wi-Fi via the Control Center, check out: https://t.co/G7BHuQnDS6",,,
1977679,1977680,1977679,@AppleSupport is the app@store down?  It cannot connect.,,"@343254 We can assist you with connecting to the App Store. Try restarting first, and DM us if this persists: https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT",,,
112902,112903,112902,"-iPhone X Drops
-New update comes out 
*Downloads*

Now my iphone got 99 problems and dies in 3 minutes
#ThankfulForYou @115858",,"@141101 We know how important your battery life is, so we'd be happy to look into what's going on with you. To start, can you let us know which device and iOS version you're using?",,,
1677876,1677877,1677876,@AppleSupport @115858 can we get an update on bug fixes and emojis fixes? This A? Is mad annoying 🙄,,@510347 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
243287,243291,243287,"@AppleSupport is the App Store down? I can’t download or update any apps, the circle keeps spinning and I’ve been trying for over 12 hours",,@173771 Thanks for reaching out. Let's take a closer look together. Does this happen over both Wi-Fi and cellular data?,,,
2077322,2077323,2077322,"Hey Apple, I would really like for my iphone to stop glitching and freezing up now. K thanks. #stupidupdate   #notokayiphoneuser @115858",,@614372 We can work together to get your iPhone back up and running smoothly. DM us the iOS version. Let's continue there. https://t.co/GDrqU22YpT,,,
1102914,1102915,1102914,@AppleSupport i upgraded to ios 11 and now my iphone 5 is behaving like an iphone 3 that needs charging every 5h - please fix this?!,,@380260 We'd like to connect with you on this concern. DM us to get started. https://t.co/GDrqU22YpT,,,
2255263,2255264,2255263,"@AppleSupport Hi someone hacked my Apple ID and changed it, so the one I created is not recognized. Is there something that can be done so I don't lose all of my music?",,@656886 Hey there! We're sorry to hear you're having some trouble with your Apple ID. Shoot us a DM and we'll get you pointed in the right direction. https://t.co/GDrqU22YpT,,,
1386695,1386697,1386695,"@AppleSupport yes I’m connected to wifi, I’ve tried researching to see how to fix the problem but it says I need a laptop or some sort which I don’t have","[CUSTOMER] Thank you @115858 for removing roughly 1000 of my fucking photos for no apparent reason. All I wanted to do was sign back into my Apple ID..
[AGENT] @442667 Your photos are important as they are your memories. Let's see what we can do to get them back. Are you connected to Wi-Fi?",@442667 Thanks for that information.  Do you have a friend or family member's computer you can use to login to https://t.co/C5aW5fTPuK,,,
1138326,1138327,1138326,49% battery drain over night @AppleSupport not sure that’s supposed to happen #ios11,,@142168 We'd like to investigate what's going on with the battery. Please meet up with us in DM and we can get started. https://t.co/GDrqU22YpT,,,
1697477,1697478,1697477,@115858 you guys need to fix this glitch before exclamation point and question mark box get a galaxy,,@514901 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
2293951,2293950,2293951,@AppleSupport I’ve been experiencing enormous lag in my iPhone 6 (16 GB) after updating it to iOS 11. Any comments?,"[CUSTOMER] Updated my phone and this I problem still isn’t fixed @AppleSupport 🙄🙄🙄🙄🙄
[CUSTOMER] @666129 @666130 @AppleSupport It can be fixed by using your keyboard shortcuts: phrase “I”, shortcut “i”. This is a temp. fix until Apple releases a official fix.
[AGENT] @666128 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6
[CUSTOMER] @AppleSupport Hi, the fix is working.
[AGENT] @666128 Fantastic! We're glad to hear it.

If we can help with any other Apple concerns, just let us know.",@666128 We're happy to assist. Can you send us a DM with the specifics of what you're experiencing? https://t.co/GDrqU2kzhr,,,
1983018,1983020,1983018,"@AppleSupport My iPhone 5S network has been showing ""No service"" since 3 days. Network guys @117128 have given up. Please help :(",,"@586965 We'd love to help you out. Let's start with the following article: https://t.co/5KootZbxj1

DM us if you need further assistance. https://t.co/GDrqU22YpT",,,
1995399,1995400,1995399,first of all @115858 the letter “i” is acting funny. Please fix tysm,,@590038 We'd be happy to discuss this issue with you. Please DM us the iOS version currently installed on your device. https://t.co/GDrqU22YpT,,,
2639698,2639700,2639698,"@AppleSupport my iMac has been stuck on loading screen since #HighSierra update, anyone have a fix? ✌🏾 https://t.co/3kmBceX4Ym",,"@744965 Thanks so much for reaching out to us today. We'd be happy to look into what's going on with your iMac. To start, reach out to us in DM using the link below and we'll continue from there. https://t.co/GDrqU22YpT",,,
2858286,2858287,2858286,"@AppleSupport Sorry, I realise they are saving but there’s no old fashioned flash of the screen or the recent Small image that flicks to the bottom and you have to either save or discard.  Better but didn’t realise until now 🙈🙈","[CUSTOMER] Any idea why my #iPhone isn’t taking screenshots anymore @115858 @AppleSupport
[AGENT] @283256 We'd be happy to help. What happens when you take screenshots? Do you see any changes?","@283256 Glad to hear it's working. If you need further assistance don't hesitate to reach out, and have a wonderful day.",,,
326417,326418,326417,@115858 iOS11 is crashing and sucking the life and soul from my battery. #pleasefixit,,@193764 We're here to help. Please DM us which iOS device you are using and we'll work on this together. https://t.co/GDrqU22YpT,,,
303541,303542,303541,"@115858 @AppleSupport You didn't tell that after ELEVATING to buggy High-sierra, my Mac wud crash 14 times in 3 hrs. Tell me how to go back.",,@188464 We'd like to look into this with you. DM us to get started.,,,
1470821,1470823,1470821,"@AppleSupport Opening the camera, 5-10 seconds no response, same with other apps. Keyboard sometimes not responding, iOS 11 renders the device useless","[AGENT] Quickly switch between your favorite #iPad apps from any screen. Here's how, with the new Dock in iOS 11. https://t.co/Z52qsXrSzN
[CUSTOMER] @AppleSupport If it is not frozen all the time since iOS11 🤦‍♂️🤬
[AGENT] @461401  Just to make sure we understand, is your iPad frozen? If so, is it stuck on the Apple logo or on the main screen with your icons?",@461401 Understood. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,,,
1897912,1897913,1897912,Man @115858 is tripping. Just bc a new phone comes out they think they slick making my phone mess up.,,@565648 Let's look into this for you. What kind of issues are you experiencing with your iPhone? Let us know in detail via DM. https://t.co/GDrqU22YpT,,,
666256,666257,666256,"@AppleSupport question is it bad to use my phone for long period of time while connected to power ? It tends to feel warm. But I’m normally have to text, received conference calls and write menos. Thanks ( the use can be for at least 2 hours )",,@278728 That's a fantastic question!  The iOS software may limit charging above 80 percent if the recommended battery temperatures are exceeded.  This helps keep your battery in good condition.  You can read more about this at: https://t.co/Pw9tAp6oyN,,,
2889481,2889482,2889481,@AppleSupport hi guys! I have an iPhone 6s Plus that has developed a “blurry” camera issue and the Touch ID is no longer working. Purchased earlier this year in UAE. Can you let me know via my receipt I can DM you if covered by warranty for a fix?,,"@801134 We're happy to look into the issues you're experiencing with your iPhone. In DM, please let us know which software version you're using. https://t.co/GDrqU22YpT",,,
2923598,2923600,2923598,"Dear @AppleSupport, #iOS11 has completely hosed #CarPlay in my BMW. It continually disconnects, reconnects. Extreme lag &amp; freezing on phone &amp; HUD. Locked up phone to point I had to hard reset. It was fine before moving to iOS11. Unpaired/repaired numerous times. #FixIt @115858 🤬",,"@137402 We understand needing this to work with CarPlay. Have you reached out and ensured all BMW updates are applied? Also, do you have any other 3rd party Bluetooth devices connected? Feel free to DM us. https://t.co/GDrqU22YpT",,,
333657,333658,333657,@AppleSupport @115858 @AppleSupport  could you give a hand on how to solve these inconveniences?,[CUSTOMER] Hello @AppleSupport and @115858  why do I need to turn off my iPhone every time I want to update an app?  It’s really frustrating doing it 1/,@195493 We'll look into this together. Here's a link to DM us. https://t.co/GDrqU22YpT,,,
705439,705440,705439,"@115858 ever since I updated my phone my camera, the sound on my phone has stopped working and I can’t make or receive phone calls🖕🏼",,@288635 Let's work on your iPhone together. Meet up with us in DM to continue. https://t.co/GDrqU22YpT,,,
2172859,2172860,2172859,"Mais alguém tem tido problemas com@a #AppStore? Tá tudo bem aí, @115858?",,"@637192 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",,,
855225,855226,855225,"@115858 High Sierra has completely messed up my screen (colors, lines, both) and I need it fixed NOW. It won’t let me WORK",,"@323120 We want to help you get your Mac performing as you expect it to. Please send us a DM to tell us which country you're in, we'll help. https://t.co/GDrqU22YpT",,,
1644556,1644557,1644556,@AppleSupport when I tap on @ I get ?  I have to go to keyboard numeric to use @ symbol. Example:   ?AppleSupport.,,@458612 Let’s see what we can find out about your device. Let us know which version of iOS you’re running in DM to proceed. https://t.co/GDrqU22YpT,,,
1099654,1099656,1099654,"@AppleSupport Yes, it went from not connecting at all to only playing Apple Music (rather than Spotify of podcasts)","[CUSTOMER] @AppleSupport hi after updating to ios 11 I'm having issues connecting my phone via my car's bluetooth (hyundai)
[AGENT] @147531 Let's figure this out. What's happening when you try to connect? Have you restarted your iPhone since this began?",@147531 Got it. Which version of iOS are you running? Have you checked for app updates in the App Store since updating?,,,
457198,457200,457198,"Installed #highsierra and my late 2011 Mac is not working, it had no issues previously @AppleSupport. I got it booted up, after reinstalling High Sierra, then I shut down &amp; it does not work. Here’s what my screen looked like the other day. Any ideas? https://t.co/x4bHnAvIFc https://t.co/pydM6Iqp5r",,@223551 We'd like to take a look at this with you. May we ask what's showing up on your screen right now? Let us know in DM. https://t.co/GDrqU22YpT,,,
706147,706148,706147,@115858 @AppleSupport Just did your update. All my photos and videos are gone. How do I recover them? Or how do I reverse the update?,,@288836 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,,,
2015463,2015464,2015463,"No fr, @115858 needs to fix this 😩",,@595984 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,,,
2448382,2448383,2448382,@AppleSupport Microphone on the back of my phone stopped working. Genius Bar told me it “definitely wasn’t my fault but that products break down earlier than expected sometimes.” Told me i could pay to replace it or upgrade. Got this iPhone in June. About to lose a loyal customer.,"[CUSTOMER] @115858 it would have been great if my iPhone videos recorded sound at the @236757 concert. Went back to watch the videos and it’s only playing white noise @AppleSupport #JoanneWorldTourConnecticut
[AGENT] @701805 Thanks for reaching out. We understand wanting to get this looked at as it is a great way to store your memories. Let's get you in the right place. Contact our Photos App Specialist team here: https://t.co/IBIY3vMgPj They will be able to look closer into what's going on.",@701805 We'd like to take a look at this with you. Let's continue our conversation in DM. https://t.co/GDrqU22YpT,,,
2619893,2619894,2619893,"@AppleSupport if I buy iPhone X in France and travel to India, will I get international warranty?",,"@740322 The iPhone X can be serviced in other supported countries. To learn more about our Hardware Warranties, check out this link: https://t.co/DdDM6TezVe",,,
1170181,1170182,1170181,@AppleSupport i am unable to login my existing apple id in my iphone,,@395235 We've responded to your DM. Please join us there.,,,
505074,505073,505074,@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,"[CUSTOMER] @AppleSupport I’ve never been able to figure out how to set all my family members up on our Apple Music family subscription without their song likes, plays and library additions showing up on my profile (which is the master account). Any detailed instructions anywhere on this?
[AGENT] @235792 We'd like to help out the best way we can with your family's subscription to Apple Music and your library. Does their additions and songs appear on only one device or multiple? How many family members do you have on the account? Do these appear from all members?
[CUSTOMER] @AppleSupport If my wife or daughter add a song to their library on their iPhones, the song shows up in my library. Also their most recently-played radio stations show up at the top of my stations list. And their playlists show up on my list of playlists.
[AGENT] @235792 We'll do our best to get things sorted out, so you each only see your preferred music. To get us headed in the right direction, do you use Family Sharing, and do each of you have your own Apple ID?",@235792 Let's take a look at one of your family members' iPhone in Settings &gt; Apple ID &gt; iTunes &amp; App Store. Make sure that person's Apple ID is signed in here as well as in iCloud.,,,
2780705,2780703,2780705,@AppleSupport The Music app.,"[CUSTOMER] .@115948 were can I find liner notes? Trying to see who sang on &amp; produced some of these tracks on Jaden Smith's SYRE. @AppleSupport
[AGENT] @776624 Hey there. Are you using iTunes or the Music app on iOS?","@776624 Thank you. Not all info is available in the Music app. You can see some production information under the album view, at the bottom. Also, if you view the lyrics you can find information about the writer listed at the bottom.",,,
654402,654403,654402,What’s going on with the new IOS update @115858 @AppleSupport ? I got a brand new iPhone 8. It’s not letting me download apps and some apps will freeze. This is important. I have to download my @7531 app. Please and thank you.,,@275670 We want to make sure everything on your iPhone is working as you expect it. Let's start with the issues of apps not downloading on your iPhone. What's happening now when you try to download them? Have you tried restarting since this started?,,,
2296221,2296222,2296221,@AppleSupport It won't turn on,"[CUSTOMER] @115858 this is the second Mac THIS YEAR that has stopped working for no reason.. about to switch to HP 🤦🏻‍♀️
[AGENT] @666685 We want you to have a good experience with your Mac. What seems to be going on?",@666685 Okay. Let's try the steps here first: https://t.co/RqWW0duJ0U  DM us if these are not successful: https://t.co/GDrqU22YpT,,,
1083946,1083947,1083946,"@AppleSupport since updating to High Sierra, youtube videos do not play smoothly on safari anymore (they keep cutting). Thoughts?",,"@302354 We're glad to look into this with you! First, let us know if the steps in this guide help: https://t.co/9Wk33MqFIE",,,
1761087,1761088,1761087,@115858 can you fix this lol? https://t.co/TYSgzk24kz,,@529985 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
2008187,2008188,2008187,Smh @115858 can’t even restore my new phone 🙄🙄🙄,,@593827 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,,,
2950978,2950979,2950978,@AppleSupport How can I check the overall battery health of my iPhone 6s Plus?,,"@814894 Great question. iPhone monitors battery health and alerts you when your battery may need to be serviced. This alert appears under Settings &gt; Battery, at the top. Do you see any messages there? What type of issues are you experiencing with your battery? We can help.",,,
310579,310582,310579,@115858 @AppleSupport Turning off Bluetooth or WiFi means it should be OFF. Apparently NOT the case with iOS 11. Get rid of this BS. 👎🏼,,@190163 We can see how this is an issue for you. How are you turning off the Wi-Fi? Is it via Control Center?,,,
2154617,2154618,2154617,@123765 Way to go @115858 update for changing my letter “i”.,[CUSTOMER] So I️ never ever tweet but I️ guess I️m lucky enough to have #280characters of whatever is on my mind. Unfortunately I️ don’t have anything worthy of 280 characters to say. Sorry @123765,@633019 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,,,
361055,361053,361055,"@AppleSupport Will connect, drop, says no internet available, drop again. It’s been happening since the iOS 11.0.2 update. I’m using an iPhone 7.","[CUSTOMER] Has anybody had Wi-Fi issues since updating to iOS 11.0.2? @AppleSupport
[AGENT] @201493 We'd love to help out. What issues are you having with Wi-Fi? Which device are you using?",@201493 Is this happening with all Wi-Fi networks the iPhone connects with? You can DM us the answer. https://t.co/GDrqU22YpT,,,
1167790,1167792,1167790,"Yo @115858, how is that when my debt card changes and all my payments get canceled you all still find a way to charge me? Get back at me",,"@394676 For issues with billing, please reach out here: https://t.co/SDIe7UiyJN",,,
1146013,1146014,1146013,"@AppleSupport hello, team! I have reset my phone and restored it from iCloud backup but all my music in Apple Music is gone, except for the purchases made from iTunes Store before Apple Music. How do I fix it? iPhone SE 16, iOS 11.0.3",,@173606 We understand how important your Apple Music is! Let's take a look at the issue together in DM. https://t.co/GDrqU22YpT,,,
975827,975828,975827,my phone has crashed every single day since I updated @115858 HELP. WHY. HOW. 🤷🏽‍♀️☹️,,@238890 We want to get your iPhone working properly.  Which iPhone and exact iOS version are you running?,,,
2893321,2893319,2893321,"@AppleSupport It says software is up-to date iOS 10.3.3
I didn't do it when I sent an email, and I haven't yet tried safari.
And yes the keyboard is going crazy, not just sending but adding letters I didn't type, and I will press delete and it types something else","[CUSTOMER] HELP! my iphone 5 updated last night and now it has a mind of it's own and randomly sends messages or tweets mid typing. What do I do. #help #apple #iphone @AppleSupport
[AGENT] @744415 We'd like to look into what's happening with your iPhone 5. Which update was installed? This is available in Settings &gt; General &gt; About. It sounds like the issue may be with the keyboard, have you noticed any issues when typing in Notes or Safari?",@744415 Got it. Any updates for apps in the App Store &gt; Updates? This ensures Twitter doesn't have an update available.,,,
1374963,1374962,1374963,@AppleSupport Auto connect means that I can use two devices? At the same time?,"[CUSTOMER] @AppleSupport is it possible to connect the #AirPods with two #iPhone7  at the same time? #multitasking #Apple #Phone
[AGENT] @408262 Awesome question. Are you signed in to iCloud on both devices using the same Apple ID?
[CUSTOMER] @AppleSupport At the moment I only have one phone but I need a nother one next week. And I need earplugs. Yes it would be possible to use the same #iCloud
[AGENT] @408262 Got it. As long as you're signed in to the same Apple ID they'll auto connect to the device. https://t.co/1gycpwHngk",@408262 They would only be able to connect to one device at a time for audio playback.,,,
2330957,2330956,2330957,@AppleSupport First of all. My battery has been like halved since I updated. Apps keep freezing. Phone keeps shutting down 😩 whyyyy Apple ??,"[CUSTOMER] Move free with 40 million songs on your wrist.
[CUSTOMER] @115858 Yoooooo wtf is going on with this damn ios11. MY 7plus tweaking
[AGENT] @674802 We want you to have a great experience with iOS 11. Let us know what trouble you're running into, we'd love to help!",@674802 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,,,
